dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/medium,TimeCopilot,3040509.589662659,3040509.589662659,283.21892608931984,1.0087087717530026,4.287881643868664,0.810720179602496,22.07875482157477,1743.7057061507423,5.297859557653899,0.8604973242893447,0.6118706188243893,Web/CloudOps,2
bitbrains_fast_storage/5T/long,TimeCopilot,4030523.8806433696,4030523.8806433696,371.4619560289608,0.9134105304687804,4.239415674241728,0.825838708432873,16.990356306754105,2007.616467516485,5.305530996817342,0.9816630585263264,0.6737192028941127,Web/CloudOps,2
bitbrains_rnd/5T/medium,TimeCopilot,2317870.158848923,2317870.158848923,153.50325611456742,4.433770453902802,0.594711554396072,0.7129055265784028,162.0072193283584,1522.455306026723,6.405745871560616,0.6458664797807487,0.6111270144334976,Web/CloudOps,2
bitbrains_rnd/5T/long,TimeCopilot,2280941.4486649195,2280941.4486649195,167.9207402001444,3.355373219889245,1.4696731836119947,0.6935498764481771,117.07688210774565,1510.2785996844818,5.785537053993971,0.6432665236500025,0.6102253099979892,Web/CloudOps,2
bizitobs_application/10S/medium,TimeCopilot,4570776.178464267,4570776.178464267,1182.757140528361,2.6990382044848347,0.0384832876936519,0.0393211753062574,33.14222071025751,2137.937365421229,0.0839505080144545,0.0464433918462883,0.039958439029638,Web/CloudOps,2
bizitobs_application/10S/long,TimeCopilot,6617673.59866569,6617673.59866569,1552.8124705314635,3.4816992433063123,0.0497868597441512,0.0509601432809278,77.05664865666928,2572.4839355505587,0.0992104228820281,0.0598857702195689,0.055663982472999,Web/CloudOps,2
bizitobs_service/10S/medium,TimeCopilot,60797.75518485954,60797.75518485954,52.89482176999606,1.1797597839799314,0.0704116585906638,0.0658206812028272,12.969505753217875,246.5720081129639,0.185575903802245,0.0398098893363783,0.0306251405257861,Web/CloudOps,2
bizitobs_service/10S/long,TimeCopilot,131170.94048455538,131170.94048455538,77.31256830274113,1.378960440029548,0.0798102979298142,0.0774093466099856,24.48723397931568,362.1752897210899,0.2683110330783669,0.0572756222193541,0.0535407422224889,Web/CloudOps,2
bizitobs_l2c/5T/medium,TimeCopilot,126.08155468883244,126.08155468883244,7.413843337915914,0.7114207052594923,0.4971504127500155,0.8069137239630945,6.695381593254608,11.228604307251745,0.5907897103387891,0.3900771848622152,0.3072603977907794,Web/CloudOps,7
bizitobs_l2c/5T/long,TimeCopilot,324.36213081406584,324.36213081406584,12.03023948555428,1.1287304672383875,0.8257551978752894,1.005355722027217,8.340879600261944,18.010056380091257,1.0112377406594684,0.6754799618735338,0.5238501660372177,Web/CloudOps,7
bizitobs_l2c/H/medium,TimeCopilot,170.49214821827232,170.49214821827232,7.960913137206807,0.7967643166622312,0.6335708803287097,0.9380559367882922,5.633552917767068,13.057264193477604,0.79063717976047,0.4820453823905438,0.3677423620221114,Web/CloudOps,7
bizitobs_l2c/H/long,TimeCopilot,141.57640361192122,141.57640361192122,7.304780622766841,0.7629465060919579,0.7216246090200941,0.8693538484765067,7.455372083944178,11.898588303320745,0.7268001150074588,0.4461970833337841,0.3603500176749528,Web/CloudOps,7
